#           k/h    P           
   0.420980E-02   0.136908E+05
   0.429484E-02   0.138929E+05
   0.438160E-02   0.140966E+05
   0.447012E-02   0.143017E+05
   0.456042E-02   0.145082E+05
   0.465255E-02   0.147160E+05
   0.474653E-02   0.149251E+05
   0.484242E-02   0.151353E+05
   0.494024E-02   0.153467E+05
   0.504004E-02   0.155592E+05
   0.514186E-02   0.157726E+05
   0.524573E-02   0.159871E+05
   0.535170E-02   0.162024E+05
   0.545981E-02   0.164185E+05
   0.557011E-02   0.166354E+05
   0.568263E-02   0.168529E+05
   0.579743E-02   0.170708E+05
   0.591455E-02   0.172891E+05
   0.603403E-02   0.175076E+05
   0.615592E-02   0.177263E+05
   0.628028E-02   0.179450E+05
   0.640715E-02   0.181636E+05
   0.653658E-02   0.183821E+05
   0.666863E-02   0.186004E+05
   0.680335E-02   0.188182E+05
   0.694078E-02   0.190355E+05
   0.708100E-02   0.192520E+05
   0.722404E-02   0.194677E+05
   0.736998E-02   0.196824E+05
   0.751886E-02   0.198959E+05
   0.767075E-02   0.201082E+05
   0.782571E-02   0.203189E+05
   0.798380E-02   0.205281E+05
   0.814509E-02   0.207356E+05
   0.830963E-02   0.209411E+05
   0.847750E-02   0.211445E+05
   0.864875E-02   0.213456E+05
   0.882347E-02   0.215443E+05
   0.900171E-02   0.217402E+05
   0.918356E-02   0.219333E+05
   0.936908E-02   0.221232E+05
   0.955835E-02   0.223099E+05
   0.975144E-02   0.224930E+05
   0.994843E-02   0.226723E+05
   0.101494E-01   0.228477E+05
   0.103544E-01   0.230188E+05
   0.105636E-01   0.231854E+05
   0.107770E-01   0.233474E+05
   0.109947E-01   0.235044E+05
   0.112168E-01   0.236562E+05
   0.114434E-01   0.238026E+05
   0.116746E-01   0.239433E+05
   0.119104E-01   0.240781E+05
   0.121510E-01   0.242066E+05
   0.123965E-01   0.243287E+05
   0.126469E-01   0.244440E+05
   0.129024E-01   0.245523E+05
   0.131631E-01   0.246533E+05
   0.134290E-01   0.247467E+05
   0.137003E-01   0.248323E+05
   0.139770E-01   0.249098E+05
   0.142594E-01   0.249789E+05
   0.145474E-01   0.250393E+05
   0.148413E-01   0.250908E+05
   0.151411E-01   0.251331E+05
   0.154470E-01   0.251660E+05
   0.157590E-01   0.251891E+05
   0.160774E-01   0.252023E+05
   0.164022E-01   0.252053E+05
   0.167335E-01   0.251978E+05
   0.170716E-01   0.251797E+05
   0.174164E-01   0.251507E+05
   0.177683E-01   0.251106E+05
   0.181272E-01   0.250593E+05
   0.184934E-01   0.249966E+05
   0.188670E-01   0.249223E+05
   0.192481E-01   0.248364E+05
   0.196370E-01   0.247386E+05
   0.200337E-01   0.246289E+05
   0.204384E-01   0.245072E+05
   0.208513E-01   0.243736E+05
   0.212725E-01   0.242280E+05
   0.217022E-01   0.240704E+05
   0.221406E-01   0.239009E+05
   0.225879E-01   0.237196E+05
   0.230442E-01   0.235267E+05
   0.235097E-01   0.233222E+05
   0.239847E-01   0.231064E+05
   0.244692E-01   0.228795E+05
   0.249635E-01   0.226419E+05
   0.254678E-01   0.223939E+05
   0.259823E-01   0.221358E+05
   0.265072E-01   0.218681E+05
   0.270426E-01   0.215912E+05
   0.275889E-01   0.213057E+05
   0.281463E-01   0.210122E+05
   0.287149E-01   0.207112E+05
   0.292949E-01   0.204034E+05
   0.298867E-01   0.200894E+05
